name,lat,lon
Sonnenberg,47.3502932,8.7031224
Sonnenberg,47.350063,8.7021698
Burgreben,47.3438149,8.7173158
Burgstrasse,47.3427262,8.720538
Burgstrasse,47.3434071,8.7197277
Apothekerstrasse,47.3462059,8.7150008
Stadtpark,47.3486755,8.7161908
Krone,47.3412459,8.7254635
Krone,47.3409113,8.726111
Nossikon,47.340204,8.7297042
"Uster, Oberuster",47.3455478,8.7303218
Pfannenstielstrasse,47.3469238,8.7015363
Bildungszentrum,47.3476355,8.7098009
Buchholz,47.3581688,8.7284756
Buchholz,47.3587661,8.7290878
Gutenswil Sternen,47.3850129,8.7188898
Im Spitz,47.365141,8.7718241
Frohwies,47.3683065,8.781585
Zelgli,47.2739455,8.7197988
Zelgli,47.2742021,8.7196063
Felsengrund,47.2818752,8.7147273
Oberesslingen,47.2839704,8.7132267
Oberesslingen,47.2847042,8.7128425
Esslingen Bahnhof,47.2878755,8.710056
Loogarten,47.2914563,8.7134604
Loogarten,47.2912903,8.7132951
Lieburg,47.2965512,8.7182233
Lieburg,47.2959028,8.7174658
Wihalde,47.3017459,8.719857
Wihalde,47.3017664,8.7200692
Huebstock,47.3056756,8.7209303
Huebstock,47.305479,8.7208899
Traube,47.3082529,8.7214435
Traube,47.3088261,8.7215636
Mönchhof,47.3111416,8.7212408
Mönchhof,47.3117712,8.7216975
Langenmatt,47.3155,8.7208706
Chis/Naturstation,47.3258857,8.7107423
